"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"C:\Users\Nelson\Documents\GitHub\Reto-2_SauceDemo-Playwright-python-\features\login_with_blocked_user.feature: Attempting to log in with a blocked account","2511","test_attempting_to_log_in_with_a_blocked_account","tests","2026-06-30","passed","2026-06-30","","test_login_with_blocked_user","",""
"C:\Users\Nelson\Documents\GitHub\Reto-2_SauceDemo-Playwright-python-\features\sort_products.feature: Sort products by name and price","2038","test_sort_products_by_name_and_price","tests","2026-06-30","passed","2026-06-30","","test_sort_products","",""
